ts_code,trade_date_x,open,high,low,close_x,pre_close,change,pct_chg,vol,amount,trade_date_y,close_y,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv,symbol,name,area,industry,market,list_date
000573.SZ ,20210412,2.73,2.73,2.69,2.71,2.73,-0.02,-0.7326,40385.0,10947.76,20210412,2.71,0.639,0.8003,0.91,26.5522,,1.0291,1.8954,2.4785,3.7505,3.7505,63828.0604,63200.5829,50464.6122,172974.0437,171273.5797,000573,粤宏远A,广东,区域地产,主板,19940815
000576.SZ ,20210412,12.22,12.23,11.75,11.8,12.22,-0.42,-3.437,157615.79,188708.08,20210412,11.8,3.6827,6.5024,0.78,7.706,7.706,3.0546,10.1514,10.1514,,,44286.1324,42798.4418,24239.6918,522576.3623,505021.6132,000576,甘化科工,广东,综合类,主板,19940907
000581.SZ ,20210412,25.25,25.29,24.49,24.6,25.09,-0.49,-1.953,152345.34,378459.581,20210412,24.6,1.8648,3.2411,0.92,10.9435,8.9514,1.3576,2.8255,1.9265,4.4046,4.4046,100895.057,81694.0552,47003.9754,2482018.4022,2009673.7579,000581,威孚高科,江苏,汽车配件,主板,19980924
000582.SZ ,20210412,10.15,10.24,10.1,10.16,10.15,0.01,0.0985,53272.86,54144.114,20210412,10.16,0.4205,1.2627,0.66,16.8694,15.5487,1.6577,3.4646,3.0931,1.7325,1.7325,163418.9554,126681.949,42190.4101,1660336.5869,1287088.6018,000582,北部湾港,广西,港口,主板,19951102
000584.SZ ,20210412,8.0,8.06,7.75,7.87,8.06,-0.19,-2.3573,171373.21,134807.853,20210412,7.87,2.3307,3.1051,0.9,146.2954,,2.5293,3.4482,3.6163,0.1536,0.1536,76093.7577,73529.5203,55191.1226,598857.8731,578677.3248,000584,哈工智能,江苏,专用机械,主板,19951128
000585.SZ ,20210412,1.7,1.75,1.7,1.7,1.7,0.0,0.0,76101.0,13156.51,20210412,1.7,1.2487,1.4415,1.47,23.2074,23.2074,,18.5612,18.5612,,,87337.0,60942.0978,52792.6128,148472.9,103601.5663,000585,*ST东电,海南,电气设备,主板,19951213
000586.SZ ,20210412,7.33,7.62,7.3,7.41,7.32,0.09,1.2295,39058.0,29248.719,20210412,7.41,2.0191,3.3528,0.95,58.8229,58.8229,5.3299,2.9548,2.9548,,,19344.0,19344.0,11649.4369,143339.04,143339.04,000586,汇源通信,四川,通信设备,主板,19951220
000587.SZ ,20210412,1.66,1.75,1.65,1.75,1.67,0.08,4.7904,149396.2,25899.971,20210412,1.75,1.2316,1.6991,2.37,,,,0.8778,0.8907,,,212374.933,121301.185,87928.8146,371656.1328,212277.0738,000587,*ST金洲,黑龙江,批发业,主板,19960425
000589.SZ ,20210412,7.07,7.11,7.02,7.05,7.06,-0.01,-0.1416,67979.0,47982.41,20210412,7.05,0.8766,1.174,0.76,49.778,16.3484,1.3294,1.0439,1.0301,0.4732,0.4732,95631.9462,77546.4304,57901.9402,674205.2207,546702.3343,000589,贵州轮胎,贵州,汽车配件,主板,19960308
000590.SZ ,20210412,7.82,8.09,7.82,7.97,7.85,0.12,1.5287,14576.0,11596.35,20210412,7.97,0.6089,1.1312,1.9,83.9958,83.9958,2.9596,6.938,6.938,,,23947.1267,23937.6227,12885.7492,190858.5998,190782.8529,000590,启迪药业,湖南,中成药,主板,19960119
000591.SZ ,20210412,6.73,6.87,6.64,6.71,6.77,-0.06,-0.8863,818740.99,553156.118,20210412,6.71,4.0192,4.1693,0.72,22.1528,18.8228,1.4427,4.0266,3.948,1.6393,1.6393,300709.8032,203709.8929,196375.417,2017762.7795,1366893.3814,000591,太阳能,重庆,新型电力,主板,19960208
000592.SZ ,20210412,2.74,2.81,2.72,2.75,2.76,-0.01,-0.3623,367075.04,101159.826,20210412,2.75,1.918,2.4464,0.75,215.6558,210.2844,1.6388,5.4971,5.1567,,,193178.0892,191384.6915,150047.0009,531239.7453,526307.9016,000592,平潭发展,福建,林业,主板,19960327
