ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
陶瓷,1,0.00,0.00,2.96,2.96,20210908
中成药,1,214.59,214.59,0.83,0.83,20210908
汽车服务,1,17.94,17.94,1.68,1.68,20210908
橡胶,1,39.39,39.39,3.14,3.14,20210908
文教休闲,1,59.65,59.65,2.43,2.43,20210908
建筑工程,1,23.45,23.45,1.80,1.80,20210908
多元金融,1,0.00,0.00,9.18,9.18,20210908
化学制药,1,30.86,30.86,2.27,2.27,20210908
农用机械,1,85.84,85.84,2.23,2.23,20210908
全国地产,1,0.00,0.00,4.19,4.19,20210908
服饰,1,0.00,0.00,2.42,2.42,20210908
Trade_Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20
20210907,氟化工,环氧丙烷,磷化工,钴,煤炭概念,云游戏,煤化工,草甘膦,有机硅,丙烯酸,石墨电极,新三板精选层概念,稀缺资源,消毒剂,染料,特钢概念,小金属概念,锂电池,碳纤维,电子竞技
20210907,6.6369,5.1211,4.9862,4.8473,4.8285,4.4943,4.4275,4.3867,4.1628,4.1603,4.0264,3.5928,3.548,3.4147,3.279,3.1701,3.1094,3.0166,2.9561,2.891
20210908,云游戏,手机游戏,电子竞技,网络游戏,快手概念,虚拟现实,转基因,玉米,大豆,煤炭概念,文化传媒,今日头条概念,语音技术,网红经济,互联网彩票,智能音箱,RCS富媒体通信,知识产权保护,光刻胶,网络直播
20210908,10.2724,6.4935,5.9935,5.4716,4.512,4.3996,3.7871,3.7863,3.7386,3.7321,3.6675,3.5408,3.3879,3.1838,3.1697,3.1023,3.0027,2.9671,2.8837,2.7662
