ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,pe,pb
600330.SH,20210907,天通股份,元器件,主板,11.89,13.05,13.05,11.78,11.86,1.19,10.03,6.91,1.29,34.12,2.69,874280.69,20010118
600367.SH,20210907,红星发展,化工原料,主板,17.60,18.32,18.32,17.60,16.65,1.67,10.03,2.84,0.22,97.52,3.72,150499.39,20010320
000635.SZ,20210907,英力特,化工原料,主板,13.62,14.81,14.81,13.60,13.46,1.35,10.03,7.38,0.77,64.50,1.58,323900.13,19961120
002534.SZ,20210907,杭锅股份,专用机械,中小板,20.90,23.16,23.16,20.70,21.05,2.11,10.02,1.45,1.39,33.21,5.11,234890.84,20110110
600251.SH,20210907,冠农股份,农业综合,主板,9.28,10.21,10.21,9.28,9.28,0.93,10.02,7.57,2.33,32.32,3.06,588813.71,20030609
601666.SH,20210907,平煤股份,煤炭开采,主板,9.60,10.43,10.43,9.49,9.48,0.95,10.02,3.31,1.06,17.65,1.60,780315.79,20061123
002312.SZ,20210907,川发龙蟒,化工原料,中小板,14.52,15.81,15.81,14.13,14.37,1.44,10.02,4.59,0.56,41.68,4.28,913575.42,20091203
603313.SH,20210907,梦百合,家居用品,主板,15.07,16.69,16.69,15.03,15.17,1.52,10.02,1.89,1.97,21.45,2.40,146003.86,20161013
600722.SH,20210907,金牛化工,化工原料,主板,6.09,6.70,6.70,6.02,6.09,0.61,10.02,6.55,1.83,459.22,4.43,289047.02,19960626
000822.SZ,20210907,山东海化,化工原料,主板,12.28,13.40,13.40,12.00,12.18,1.22,10.02,5.60,1.00,0.00,3.75,644861.91,19980703
002617.SZ,20210907,露笑科技,电气设备,中小板,12.61,13.84,13.84,12.58,12.58,1.26,10.02,13.72,2.36,171.00,5.90,2430826.90,20110920
000862.SZ,20210907,银星能源,新型电力,主板,6.93,7.47,7.47,6.79,6.79,0.68,10.01,23.20,2.21,153.78,1.91,829499.24,19980915
002272.SZ,20210907,川润股份,机械基件,中小板,7.18,7.47,7.47,7.18,6.79,0.68,10.01,7.70,0.67,50.14,2.26,188038.70,20080919
605090.SH,20210907,九丰能源,供气供热,主板,36.00,39.11,39.11,36.00,35.55,3.56,10.01,20.56,2.54,22.57,3.10,650129.42,20210525
603159.SH,20210907,上海亚虹,专用机械,主板,15.33,16.92,16.92,15.20,15.38,1.54,10.01,4.91,3.93,58.87,5.32,112558.54,20160812
603985.SH,20210907,恒润股份,机械基件,主板,23.26,26.15,26.15,23.20,23.77,2.38,10.01,10.71,1.50,14.96,4.11,712555.34,20170505
002182.SZ,20210907,云海金属,小金属,中小板,17.22,19.12,19.12,17.03,17.38,1.74,10.01,17.39,1.01,50.71,4.27,1773900.32,20071113
